# Practice: question | correct answer | distractor | distractor | explanation
The school yard is bright at lunchtime and dark after sunset. What has changed?|day to night|winter to summer|rain to wind|Day and night change within one day. Seasons change over much longer periods.
Rain starts during lunch. Which change helps keep the outdoor reading books dry?|move them under cover|spread them on the grass|leave their covers open|Cover protects the books from the rain.
The air feels much colder before school today. What would help you stay warm?|a warm jumper|a sunhat only|lighter clothing|A warm jumper helps when the air is cold.
Leaves and a flag are moving in the wind. Which word describes this weather?|windy|rainy|foggy|The moving flag and leaves are signs of wind, not proof of rain or fog.
The weather cards show morning and afternoon. What changed?|rain stopped|rain started|rain continued all day|The morning card shows rain; the afternoon card shows no rain.
The daylight cards show the same time on two days. On which day is it still light?|Day B|Day A|both days|Day B is light at the recorded time. Day A is dark.
An uncovered sandpit fills with puddles after rain. What needs checking before play?|whether it is suitable to use|whether tomorrow is summer|whether the sand changed colour last month|Today's rain changed the play area. Check its condition before using it.
A tree has bare branches in one photo and new leaves in a later photo. What changed?|the tree grew new leaves|the tree lost all its leaves|the tree stayed the same|Comparing the photos shows new leaves appearing.
The shade cards show where the tree's shade falls. Which seat is shaded in the afternoon?|Seat B|Seat A|both seats|The afternoon card places the shade over Seat B.
Each evening it becomes dark and the path lights turn on. Which change is this linked to?|day becoming night|a new season starting|rain always beginning|The lights respond to the daily change from light to dark.
It rained on Monday but was dry on Tuesday. What can we say?|Weather can change from day to day.|A whole season changed overnight.|Every Tuesday will be dry.|These two days had different weather. They do not show what every Tuesday will be like.
In one town, winter mornings are often cold. Why might children wear coats then?|to stay warm in the cold air|to make daylight last longer|to stop the season changing|Clothing choices can help people cope with seasonal conditions.
The class's weather record shows three days. Which day would need a plan for rain?|Tuesday|Monday|Wednesday|Tuesday is recorded as rainy. The other two days are recorded as dry.
A tree drops many leaves over several weeks each autumn. Is this a daily or seasonal pattern?|seasonal|daily|a change every hour|The repeated change occurs over weeks at a time of year, rather than within one day.
A town has many rainy weeks in its wet season. Which plan suits that pattern?|keep a covered play space available|expect every day to stay dry|pack away all raincoats|A covered space helps when rain is common. It need not rain every day.
It is summer, but today's air is cold. What should guide the clothes you choose today?|today's conditions|the season name alone|yesterday's clothes alone|A season has usual patterns, but individual days can be different.
The morning was calm. By afternoon, strong wind blew leaves across the path. What changed?|the wind became stronger|the day became colder for certain|rain began for certain|Moving leaves show a change in wind. They do not prove rain or colder air.
Some local trees grow flowers each spring. How can that affect bees?|more flowers may provide more food|bees no longer need food|all bees must leave the area|Flowers can supply food for bees. Seasonal plant changes can affect animals.
The playground surface is very hot in the afternoon. Which plan uses the cooler part of the day?|play there earlier, after checking it|wait until the hottest time|use it without checking|Choosing a cooler time and checking the surface responds to the daily change.
At the same afternoon time, the winter photo is dark and the summer photo is light. What does this show?|daylight can last later in summer|summer has no night|winter has no daylight|The photos show a difference in daylight at that time, not an absence of day or night.
The park record shows dry grass before weeks of rain and green grass afterwards. Which change is shown?|grass became greener after the rain|grass became drier after the rain|grass stayed unchanged|The record shows a change in the grass following wetter conditions.
