"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-001","You want to find the class’s favourite playground activity. Which question should you ask?","A. How old are you? | B. Which playground activity do you like best? | C. How many windows are in the room?","Which playground activity do you like best?","The question needs answers that name playground activities. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-002","How could you collect data about the colours of cars passing the school?","A. Watch and record each car’s colour | B. Ask children their favourite colour | C. Count the school’s doors","Watch and record each car’s colour","Observation collects the colours of the cars actually passing. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-003","A bag holds red and blue counters. You want to record the colour drawn each time. What should you record after every draw?","A. The name of the person drawing | B. How far away the bag is | C. Red or blue","Red or blue","The recorded category is the colour of the drawn counter. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-004","Which headings suit a table of the types of fruit in a bowl?","A. Child’s name and Age | B. Day and Temperature | C. Fruit type and Number","Fruit type and Number","A category column names fruit types and a count column records how many. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-005","The responses are: bike, walk, walk, car, bike, walk. How many belong in the walk category?","A. 2 | B. 3 | C. 6","3","Walk appears three times; the other responses belong in other categories. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-006","A collection has 4 leaves, 2 feathers and 3 stones. Which record matches it?","A. Leaves 4; feathers 2; stones 3 | B. Leaves 2; feathers 4; stones 3 | C. Leaves 4; feathers 3; stones 2","Leaves 4; feathers 2; stones 3","Each quantity must stay with its own category. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-007","Each child chooses one favourite game. Why should each child’s answer be recorded only once?","A. So all games have the same total | B. So one child’s choice is not counted twice | C. So only popular games are recorded","So one child’s choice is not counted twice","Duplicate records would change the survey results. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-008","No one chooses skating in a game survey. What number belongs in its row?","A. 1 | B. 2 | C. 0","0","Zero shows that the category was checked and had no responses. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-009","A tablet table has rows for red, blue and green blocks. You find another blue block. What should you change?","A. Increase the blue count by 1 | B. Increase every count by 1 | C. Change the red label to blue","Increase the blue count by 1","Only the category containing the new observation changes. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-010","You have recorded 4 tally strokes in one category. How should the fifth tally be drawn?","A. Across the first four strokes to make a group of five | B. As a new group of four strokes | C. Erase the first four strokes","Across the first four strokes to make a group of five","A crossing fifth stroke makes a bundle that is easy to count. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-011","You sort buttons by the number of holes. Where does a button with 4 holes belong?","A. In every button group | B. In the group with four buttons | C. In the 4-hole group","In the 4-hole group","The rule describes holes in each button, not how many buttons are in a group. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-012","A pet survey offers only dog and cat. A child’s only pet is a rabbit. What should you do?","A. Record dog because it is already listed | B. Add a suitable category and record the answer | C. Ignore the child’s answer","Add a suitable category and record the answer","The categories need to include the actual responses. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-013","Which question collects kinds of things rather than a numerical measurement?","A. How long is your pencil? | B. How heavy is your bag? | C. Which type of bread do you prefer?","Which type of bread do you prefer?","Bread preferences form named categories. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-014","A table uses the categories “walk”, “bike” and “car” for the main way to school. A child rode a bicycle. Where does that answer go?","A. Bike | B. Walk | C. A new category called bicycle","Bike","Bike and bicycle mean the same travel category here. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2ST01","Collecting and recording categorical data","practice","AC9M2ST01-P-015","Six children each give one answer. The table counts are 2, 1 and 2. What should you check?","A. Whether there are too many answers | B. Whether one answer was missed | C. Whether every category must contain 2","Whether one answer was missed","The recorded total is 5, so one of the six answers is missing. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
