"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-001","What amount of turn does the curved arrow show?","A. A half turn | B. A quarter turn | C. A full turn","A quarter turn","The arrow travels through one of four equal parts of a full circle. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 0 degrees clockwise from top; curved arrow travels 1 quarter-turns clockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,67.0 326.5,67.3 333.0,68.0 339.4,69.3 345.6,71.1 351.8,73.3 357.7,76.0 363.4,79.2 368.8,82.9 373.9,86.9 378.7,91.3 383.1,96.1 387.1,101.2 390.8,106.6 394.0,112.3 396.7,118.2 398.9,124.4 400.7,130.6 402.0,137.0 402.7,143.5 403.0,150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M396.32437456843587 138.84491035009336L403.0 150.0L408.7798284595412 138.3555342338827"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L410.0 150.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 84.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-002","Name the turn shown.","A. A half turn | B. A quarter turn | C. A three-quarter turn","A half turn","Two quarter-turns take the ray to the opposite direction. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 90 degrees clockwise from top; curved arrow travels 2 quarter-turns clockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""403.0,150.0 402.7,156.5 402.0,163.0 400.7,169.4 398.9,175.6 396.7,181.8 394.0,187.7 390.8,193.4 387.1,198.8 383.1,203.9 378.7,208.7 373.9,213.1 368.8,217.1 363.4,220.8 357.7,224.0 351.8,226.7 345.6,228.9 339.4,230.7 333.0,232.0 326.5,232.7 320.0,233.0 313.5,232.7 307.0,232.0 300.6,230.7 294.4,228.9 288.2,226.7 282.3,224.0 276.6,220.8 271.2,217.1 266.1,213.1 261.3,208.7 256.9,203.9 252.9,198.8 249.2,193.4 246.0,187.7 243.3,181.8 241.1,175.6 239.3,169.4 238.0,163.0 237.3,156.5 237.0,150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M243.67562543156416 161.15508964990664L237.0 150.00000000000003L231.2201715404588 161.64446576611732"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L230.0 150.00000000000003"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L386.0 150.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-003","Follow the curved arrow. How much does it turn?","A. One quarter of a turn | B. One full turn | C. Three quarters of a turn","Three quarters of a turn","The arrow travels around three of the four quarters. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 0 degrees clockwise from top; curved arrow travels 3 quarter-turns clockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,67.0 326.5,67.3 333.0,68.0 339.4,69.3 345.6,71.1 351.8,73.3 357.7,76.0 363.4,79.2 368.8,82.9 373.9,86.9 378.7,91.3 383.1,96.1 387.1,101.2 390.8,106.6 394.0,112.3 396.7,118.2 398.9,124.4 400.7,130.6 402.0,137.0 402.7,143.5 403.0,150.0 402.7,156.5 402.0,163.0 400.7,169.4 398.9,175.6 396.7,181.8 394.0,187.7 390.8,193.4 387.1,198.8 383.1,203.9 378.7,208.7 373.9,213.1 368.8,217.1 363.4,220.8 357.7,224.0 351.8,226.7 345.6,228.9 339.4,230.7 333.0,232.0 326.5,232.7 320.0,233.0 313.5,232.7 307.0,232.0 300.6,230.7 294.4,228.9 288.2,226.7 282.3,224.0 276.6,220.8 271.2,217.1 266.1,213.1 261.3,208.7 256.9,203.9 252.9,198.8 249.2,193.4 246.0,187.7 243.3,181.8 241.1,175.6 239.3,169.4 238.0,163.0 237.3,156.5 237.0,150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M243.67562543156416 161.15508964990664L237.0 150.00000000000003L231.2201715404588 161.64446576611732"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L230.0 150.00000000000003"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 84.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-004","The arrow travels all the way around and returns to its starting direction. What is this?","A. A half turn | B. A quarter turn | C. A full turn","A full turn","One complete rotation is a full turn. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 0 degrees clockwise from top; curved arrow travels 4 quarter-turns clockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-p-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,67.0 326.5,67.3 333.0,68.0 339.4,69.3 345.6,71.1 351.8,73.3 357.7,76.0 363.4,79.2 368.8,82.9 373.9,86.9 378.7,91.3 383.1,96.1 387.1,101.2 390.8,106.6 394.0,112.3 396.7,118.2 398.9,124.4 400.7,130.6 402.0,137.0 402.7,143.5 403.0,150.0 402.7,156.5 402.0,163.0 400.7,169.4 398.9,175.6 396.7,181.8 394.0,187.7 390.8,193.4 387.1,198.8 383.1,203.9 378.7,208.7 373.9,213.1 368.8,217.1 363.4,220.8 357.7,224.0 351.8,226.7 345.6,228.9 339.4,230.7 333.0,232.0 326.5,232.7 320.0,233.0 313.5,232.7 307.0,232.0 300.6,230.7 294.4,228.9 288.2,226.7 282.3,224.0 276.6,220.8 271.2,217.1 266.1,213.1 261.3,208.7 256.9,203.9 252.9,198.8 249.2,193.4 246.0,187.7 243.3,181.8 241.1,175.6 239.3,169.4 238.0,163.0 237.3,156.5 237.0,150.0 237.3,143.5 238.0,137.0 239.3,130.6 241.1,124.4 243.3,118.2 246.0,112.3 249.2,106.6 252.9,101.2 256.9,96.1 261.3,91.3 266.1,86.9 271.2,82.9 276.6,79.2 282.3,76.0 288.2,73.3 294.4,71.1 300.6,69.3 307.0,68.0 313.5,67.3 320.0,67.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M308.84491035009336 73.67562543156413L320.0 67.0L308.35553423388274 61.22017154045878"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L320.0 60.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 84.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-005","You face a window. What turn makes you face directly away from it?","A. A full turn | B. A half turn | C. A quarter turn","A half turn","A half turn changes the direction to its opposite. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-006","A toy makes one full turn. Where does it face at the end?","A. In its original direction | B. In the opposite direction | C. Always to the right","In its original direction","A full turn returns the toy to its starting orientation. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-007","How many equal quarter-turns make one full turn?","A. 2 | B. 4 | C. 3","4","Four quarters make a whole turn. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-008","How many quarter-turns in the same direction make a half turn?","A. 1 | B. 4 | C. 2","2","Two quarters make one half. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-009","An arrow starts pointing to the top of the page and makes a clockwise quarter turn. Where does it point?","A. Right | B. Left | C. Bottom","Right","Clockwise follows the order top, right, bottom, left. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-010","An arrow points right. It makes a quarter turn anticlockwise. Where does it point?","A. Top | B. Bottom | C. Left","Top","Anticlockwise goes from right towards the top. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
