"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-001","The sandwich is divided along its diagonal. What fraction is the coloured piece?","A. One quarter | B. One half | C. One eighth","One half","The diagonal divides the square sandwich into 2 equal-sized pieces. One piece is one half. Hint: Look at the number of equal parts in the whole.","A square sandwich is divided diagonally into two matching triangles, with one coloured.","/assets/assessment-visuals/year2/math/ac9m2m02.svg?v=20260906-year2-pending-release#ac9m2m02-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""220"" y=""50"" width=""200"" height=""200"" fill=""white"" stroke=""#17324d"" stroke-width=""3""/><path d=""M220 50H420L220 250Z"" fill=""#83c6ee""/><rect x=""220"" y=""50"" width=""200"" height=""200"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><path d=""M220 250L420 50"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-002","The square tile has 4 equal sections. What fraction of the tile is coloured?","A. One quarter | B. One half | C. One eighth","One quarter","One of the 4 equal sections is coloured, so it is one quarter. Hint: Count the equal sections, including the uncoloured ones.","A square has four equal square sections, one coloured.","/assets/assessment-visuals/year2/math/ac9m2m02.svg?v=20260906-year2-pending-release#ac9m2m02-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""220.0"" y=""50.0"" width=""100.0"" height=""100.0"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""3""/><rect x=""320.0"" y=""50.0"" width=""100.0"" height=""100.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""220.0"" y=""150.0"" width=""100.0"" height=""100.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""320.0"" y=""150.0"" width=""100.0"" height=""100.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-003","A fruit bar is divided into the equal pieces shown. What fraction is one coloured piece?","A. One quarter | B. One half | C. One eighth","One eighth","The whole bar has 8 equal pieces. Each piece is one eighth. Hint: Count all the equal pieces in the bar.","A rectangular fruit bar has two rows of four equal pieces, one coloured.","/assets/assessment-visuals/year2/math/ac9m2m02.svg?v=20260906-year2-pending-release#ac9m2m02-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""120.0"" y=""75.0"" width=""100.0"" height=""75.0"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""3""/><rect x=""220.0"" y=""75.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""320.0"" y=""75.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""420.0"" y=""75.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""120.0"" y=""150.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""220.0"" y=""150.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""320.0"" y=""150.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/><rect x=""420.0"" y=""150.0"" width=""100.0"" height=""75.0"" fill=""#fff"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-004","A cake is cut into the 4 pieces shown. Are all the pieces quarters?","A. Yes; any 4 pieces are quarters | B. No; quarters need 8 pieces | C. No; the pieces are not equal in size","No; the pieces are not equal in size","Four pieces are quarters only when they are equal-sized parts of the same whole. Hint: Compare the widths of these pieces.","A rectangular cake has four strips with widths in the ratio 1, 1, 2 and 4.","/assets/assessment-visuals/year2/math/ac9m2m02.svg?v=20260906-year2-pending-release#ac9m2m02-p-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""120"" y=""75"" width=""400"" height=""150"" fill=""#f6d797"" stroke=""#17324d"" stroke-width=""3""/><path d=""M170 75L170 225"" stroke=""#17324d"" stroke-width=""3""/><path d=""M220 75L220 225"" stroke=""#17324d"" stroke-width=""3""/><path d=""M320 75L320 225"" stroke=""#17324d"" stroke-width=""3""/></svg>","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-005","You fold a rectangular card to make 2 equal parts. Where should the fold go?","A. Very close to one edge | B. Through the middle, with opposite edges meeting | C. Anywhere, as long as there is one fold","Through the middle, with opposite edges meeting","Bringing opposite edges together makes a fold through the middle and two matching halves. Hint: Both parts must cover the same amount of card.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-006","Four people share one flatbread equally, with none left over. What fraction of the flatbread does each receive?","A. One quarter | B. One half | C. One eighth","One quarter","Each person receives one of 4 equal shares of the whole flatbread. Hint: The whole is one flatbread.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-007","One tray of slice is cut into 8 equal portions for 8 people. What does “one eighth” mean here?","A. All 8 portions together | B. One person’s portion | C. Any 2 portions together","One person’s portion","One eighth is one of the tray’s 8 equal portions. All 8 portions make the whole tray. Hint: Identify the whole before naming a part.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-008","A music session lasts one hour. A break begins halfway through. What fraction of the hour has passed?","A. One quarter | B. One eighth | C. One half","One half","Halfway divides the hour into 2 equal durations. One has passed and one remains. Hint: Think of two equal parts of the session.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-009","A game has 4 periods of equal length. What fraction of the playing time is one period?","A. One quarter | B. One half | C. One eighth","One quarter","One period is one of 4 equal parts of the total playing time. Hint: The periods must last equally long.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-010","A dance routine has 8 sections that take equal time. One section is finished. What fraction of the routine’s time is finished?","A. One eighth | B. One quarter | C. One half","One eighth","One completed section out of 8 equal-duration sections is one eighth of the total time. Hint: Count equal durations, not the number of different movements.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-011","One ribbon is marked into 4 equal lengths. How many of these lengths should be coloured to show half the ribbon?","A. 1 length | B. 4 lengths | C. 2 lengths","2 lengths","Two quarter-lengths cover half of the ribbon, leaving two quarter-lengths uncoloured. Hint: Make two equal groups of the four lengths.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-012","One chocolate bar has 8 equal squares. How many squares make one quarter of the bar?","A. 4 squares | B. 2 squares | C. 1 square","2 squares","Divide the 8 squares into 4 equal groups. Each group has 2 squares and is one quarter. Hint: Make four equal shares of the whole bar.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-013","A walking route is split into 8 equal lengths. How many lengths take you halfway along the route?","A. 2 lengths | B. 8 lengths | C. 4 lengths","4 lengths","Four of the 8 equal lengths make half the route. Four equal lengths remain. Hint: Halfway leaves the same distance still to walk.","","","","multiple-choice",""
"AC9M2M02","Halves, quarters and eighths in everyday contexts","practice","AC9M2M02-P-014","A paper strip already has 4 equal sections. How can you turn it into eighths?","A. Divide every section into 2 equal parts | B. Divide just one section into 2 parts | C. Erase all but one dividing line","Divide every section into 2 equal parts","Splitting each of the 4 equal sections in half makes 8 equal parts of the original strip. Hint: Every section needs the same change.","","","","multiple-choice",""
