"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-001","Which strip is longer?","A. B | B. A | C. They have equal length","A","Their left ends line up; A extends farther at the other end. Hint: Use the information in the question and check each step.","Two strips share a left endpoint; A extends farther right than B.","/assets/assessment-visuals/year2/math/ac9m2m01.svg?v=20260906-year2-pending-release#ac9m2m01-p-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""80"" y=""60"" width=""350"" height=""55"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><text x=""55"" y=""95"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><rect x=""80"" y=""170"" width=""250"" height=""55"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><text x=""55"" y=""205"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text></svg>","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-002","How long is the ribbon in these tile units?","A. 6 tiles | B. 5 tiles | C. 7 tiles","6 tiles","Six equal tiles touch end to end and cover the ribbon. Hint: Use the information in the question and check each step.","Ribbon aligned with six equal touching tiles.","/assets/assessment-visuals/year2/math/ac9m2m01.svg?v=20260906-year2-pending-release#ac9m2m01-p-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""80"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""135"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""190"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""245"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""300"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""355"" y=""120"" width=""55"" height=""55"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><path d=""M80 85L410 85"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><text x=""245"" y=""60"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Ribbon</text></svg>","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-003","How many blocks taller is tower B than tower A?","A. 3 blocks | B. 5 blocks | C. 2 blocks","2 blocks","B has 5 blocks and A has 3; the difference is 2. Hint: Use the information in the question and check each step.","Tower A is three equal blocks high; B is five of the same blocks high, with bases aligned.","/assets/assessment-visuals/year2/math/ac9m2m01.svg?v=20260906-year2-pending-release#ac9m2m01-p-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><rect x=""170"" y=""190"" width=""60"" height=""40"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><rect x=""170"" y=""150"" width=""60"" height=""40"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><rect x=""170"" y=""110"" width=""60"" height=""40"" fill=""#83c6ee"" stroke=""#17324d"" stroke-width=""2""/><rect x=""400"" y=""190"" width=""60"" height=""40"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><rect x=""400"" y=""150"" width=""60"" height=""40"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><rect x=""400"" y=""110"" width=""60"" height=""40"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><rect x=""400"" y=""70"" width=""60"" height=""40"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><rect x=""400"" y=""30"" width=""60"" height=""40"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><text x=""200"" y=""270"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">A</text><text x=""430"" y=""270"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">B</text></svg>","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-004","Four full cups fill an empty pot exactly. Every cup holds the same amount. What is the pot’s capacity?","A. 1 cupful | B. 5 cupfuls | C. 4 cupfuls","4 cupfuls","The pot holds four of the chosen full-cup units. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-005","What mass does the level balance show for the parcel?","A. 4 counter units | B. 5 counter units | C. 6 counter units","5 counter units","A level balance shows equal masses on its two sides. Hint: Use the information in the question and check each step.","Level balance with one parcel on the left and five equal-mass counters on the right.","/assets/assessment-visuals/year2/math/ac9m2m01.svg?v=20260906-year2-pending-release#ac9m2m01-p-005","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><path d=""M135 95L505 95"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><path d=""M320 95L280 220H360Z"" fill=""#dce5ec"" stroke=""#17324d"" stroke-width=""2""/><path d=""M170 95L170 165"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><path d=""M470 95L470 165"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><path d=""M115 165L225 165"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><path d=""M385 165L555 165"" fill=""none"" stroke=""#17324d"" stroke-width=""3""/><rect x=""142"" y=""115"" width=""56"" height=""45"" fill=""#f2c96e"" stroke=""#17324d"" stroke-width=""2""/><rect x=""393"" y=""140"" width=""27"" height=""25"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""424"" y=""140"" width=""27"" height=""25"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""455"" y=""140"" width=""27"" height=""25"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""486"" y=""140"" width=""27"" height=""25"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><rect x=""517"" y=""140"" width=""27"" height=""25"" fill=""#bde0f5"" stroke=""#17324d"" stroke-width=""2""/><text x=""320"" y=""255"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Level balance; all counters have equal mass</text></svg>","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-006","Two cords each measure 8 identical sticks long. One cord is moved to another table without stretching. What happens to its length?","A. It stays 8 sticks long | B. It becomes longer | C. It becomes shorter","It stays 8 sticks long","Moving an object does not change its length. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-007","A child leaves gaps between five measuring tiles. How should the measurement be repaired?","A. Count the gaps as extra tiles | B. Slide the tiles together and measure again | C. Keep the gaps and use the same count","Slide the tiles together and measure again","Tiles must touch without gaps to measure length in tile units. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-008","Which row gives a fair measurement from one end of a strip to the other?","A. Equal tiles overlapping | B. Mixed-size tiles with gaps | C. Equal tiles touching without overlap","Equal tiles touching without overlap","A row of uniform units must cover the length without missing or double-counting parts. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-009","Which is a useful way to measure a jug’s capacity with a small cup?","A. Count equal full cupfuls that fill it | B. Count cups filled to different levels | C. Count how tall the cup looks","Count equal full cupfuls that fill it","Each unit must contain the same amount. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M01","Measuring length, capacity and mass","practice","AC9M2M01-P-010","Which set is suitable for measuring mass on a balance?","A. Counters all of the same mass | B. A mixture of heavy and light counters | C. Counters chosen only for their colour","Counters all of the same mass","Uniform mass units are needed for the count to be meaningful. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
