"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","response_type","acceptance_note"
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-001","Read: 'The beetle wore boots and danced on a spoon.' Which response explains enjoyment of the line?","A. I like the silly picture of a beetle dancing in boots. | B. The line is printed in a book. | C. I have seen a beetle before.","I like the silly picture of a beetle dancing in boots.","The response links enjoyment to a specific amusing image in the words. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-002","Read aloud: 'Tip, tap, tiny rain; tip, tap, on the pane.' Which reason supports liking its sound?","A. The poem tells me where to buy a window. | B. The repeated 'tip, tap' sounds like little raindrops. | C. The line has no repeated words.","The repeated 'tip, tap' sounds like little raindrops.","The reader connects the repeated sound pattern with rain. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-003","Read: 'The gate was heavy. Ada held it open until everyone had passed.' Which appreciation fits?","A. I like Ada because she wins the race. | B. I like Ada's joke about the gate. | C. I like Ada's kindness because she waits for everyone.","I like Ada's kindness because she waits for everyone.","Holding the gate for others is evidence of consideration; no race or joke appears. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-004","Read: 'Soft moss covered the path. A stream whispered beside it.' Which response uses details to explain a feeling?","A. I enjoyed the peaceful setting because of the soft moss and quiet stream. | B. I enjoyed the crowded setting because everyone shouted. | C. I enjoyed the setting because it was a setting.","I enjoyed the peaceful setting because of the soft moss and quiet stream.","The response names language that creates a calm impression. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-005","A page explains how a seed grows and labels its root and shoot. Which reason explains why a reader values the page?","A. The page must be good because it has a number. | B. The labels help me tell the root from the shoot. | C. Every page about seeds is my favourite.","The labels help me tell the root from the shoot.","The reader identifies a feature and explains how it helps understanding. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-006","Which word best completes this response? 'The puppy kept slipping on the shiny floor. That scene made me laugh; it was ___. '","A. frightening | B. lonely | C. amusing","amusing","Amusing describes something that makes the reader laugh. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-007","Text A lists facts about clouds. Text B follows a cloud on an imaginary journey. Which response gives a reason for preferring B?","A. I prefer B because I enjoy imagining an adventure. | B. I prefer B because A is a text. | C. B is better and nobody may disagree.","I prefer B because I enjoy imagining an adventure.","The reader connects a personal preference with the imaginative feature of B. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-008","Jay enjoys a fast chase in a story. Lee enjoys the quiet ending. Which response respects both views?","A. Only the first reader's opinion counts. | B. We enjoyed different parts, and we can explain why. | C. We must choose the same favourite part.","We enjoyed different parts, and we can explain why.","Text preferences can differ while still being supported with reasons. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-009","A story changes location so often that a reader loses track. Which response explains a dislike usefully?","A. The author is a bad person. | B. Everyone must dislike this book. | C. I found the quick changes confusing because I could not tell where the characters were.","I found the quick changes confusing because I could not tell where the characters were.","The response explains the effect of a text feature without attacking the author. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-010","A reader says, 'I liked the surprising ending.' Which ending supports that reason?","A. The missing crown was on the queen's head all along. | B. The queen put on the crown exactly as planned. | C. The crown was described on the first page.","The missing crown was on the queen's head all along.","An unexpected discovery explains the reader's sense of surprise. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-011","Which response expresses stronger enjoyment than 'I liked the story'?","A. I noticed that the story had pages. | B. I loved the story and wanted to read it again. | C. I did not enjoy the story.","I loved the story and wanted to read it again.","Loved and wanting to reread express stronger enthusiasm than liked. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-012","Read: 'The moon rocked the sleepy sea.' Which response best explains the gentle language?","A. I found it noisy because it described a loud crash. | B. I found it useful because it listed boat prices. | C. I found it soothing because it made me imagine slow, calm movement.","I found it soothing because it made me imagine slow, calm movement.","The rocking image and sleepy sea support a calm response. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-013","Read: 'Dad searched for his glasses. They were sitting on his nose.' Which reason fits finding this funny?","A. He is looking for something already on his face. | B. He is wearing a red coat. | C. He has broken his glasses.","He is looking for something already on his face.","The humour comes from the difference between what Dad thinks and where the glasses are. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-014","A reader says, 'The map was good.' Which addition makes the appreciation more useful?","A. It was somewhere inside the book. | B. It showed the route so I could follow the explorers. | C. Good maps are always good.","It showed the route so I could follow the explorers.","The added reason explains what the map helped the reader do. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-015","Which sentence expresses appreciation rather than only a fact about a book?","A. The book has two sisters in it. | B. The title contains four words. | C. I enjoyed the lively dialogue between the sisters.","I enjoyed the lively dialogue between the sisters.","Enjoyed expresses a personal response to a feature of the writing. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
"AC9E2LA02","Giving Reasons for Text Preferences","practice","AC9E2LA02-P-016","Complete: 'I preferred the recipe with numbered steps because ___.'","A. I could follow the order easily | B. its page number was even | C. the other recipe also used flour","I could follow the order easily","Numbered steps support an ordered sequence, giving a relevant reason for the preference. Hint: Connect your response to a particular word, event or feature of the text.","multiple-choice",""
