id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LA10-P-001,AC9E2LA10,practice,titles and lists,Which version correctly writes “the secret garden”?,The Secret Garden,The secret Garden,the Secret garden,"Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-002,AC9E2LA10,practice,titles and lists,Which version correctly writes “apples pears and plums”?,"apples, pears and plums","apples pears, and plums","apples pears and, plums","Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-003,AC9E2LA10,practice,titles and lists,Which version correctly writes “my trip to mars”?,My Trip to Mars,my Trip to Mars,My trip To mars,"Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-004,AC9E2LA10,practice,titles and lists,Which version correctly writes “red blue green and gold”?,"red, blue, green and gold","red blue, green and gold","red, blue green and gold","Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-005,AC9E2LA10,practice,titles and lists,Which version correctly writes “the secret garden”?,The Secret Garden,The secret Garden,the Secret garden,"Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-006,AC9E2LA10,practice,titles and lists,Which version correctly writes “apples pears and plums”?,"apples, pears and plums","apples pears and, plums","apples pears, and plums","Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-007,AC9E2LA10,practice,titles and lists,Which version correctly writes “my trip to mars”?,My Trip to Mars,My trip To mars,my Trip to Mars,"Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-008,AC9E2LA10,practice,titles and lists,Which version correctly writes “red blue green and gold”?,"red, blue, green and gold","red blue, green and gold","red, blue green and gold","Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-009,AC9E2LA10,practice,titles and lists,Which version correctly writes “the secret garden”?,The Secret Garden,the Secret garden,The secret Garden,"Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
AC9E2LA10-P-010,AC9E2LA10,practice,titles and lists,Which version correctly writes “apples pears and plums”?,"apples, pears and plums","apples pears, and plums","apples pears and, plums","Titles use capital letters for important words, and commas separate items in a list.",multiple_choice,
