id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LA06-P-001,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-002,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-003,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,so,but,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-004,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-005,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-006,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,and,so,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-007,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,but,so,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-008,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-009,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,or,and,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-010,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-011,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,but,so,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-012,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,but,or,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-013,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-014,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-015,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,so,but,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-016,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-017,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-018,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,and,so,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-019,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,but,so,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-020,AC9E2LA06,practice,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-021,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,or,and,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-022,AC9E2LA06,practice,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-P-023,AC9E2LA06,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LA06. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Compound Sentences with Conjunctions.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LA06-P-024,AC9E2LA06,practice,apply concept,"Create a short Year 2 example question for AC9E2LA06, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LA06-T-001,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-002,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-003,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,so,but,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-004,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-005,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-006,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,and,so,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-007,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,but,so,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-008,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,or,but,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-009,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,or,and,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-010,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-011,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: We can draw a map ___ write a list.,or,but,so,or is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-012,AC9E2LA06,test,compound sentence,Choose the conjunction that best joins the ideas: The dog barked ___ wagged its tail.,and,but,or,and is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-013,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: The sky was dark, ___ we packed raincoats.",so,and,or,so is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-014,AC9E2LA06,test,compound sentence,"Choose the conjunction that best joins the ideas: Mia wanted soup, ___ Ben wanted noodles.",but,so,and,but is the conjunction that fits the connection between the two ideas.,multiple_choice,
AC9E2LA06-T-015,AC9E2LA06,test,explain concept,Write or say two sentences that show the main idea of AC9E2LA06. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Compound Sentences with Conjunctions.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LA06-T-016,AC9E2LA06,test,apply concept,"Create a short Year 2 example question for AC9E2LA06, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
