id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LY07-P-001,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-002,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-003,AC9E2LY07,practice,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,silent with no pace,shouting every word,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-004,AC9E2LY07,practice,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-005,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-006,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,index page,spelling pattern,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-007,AC9E2LY07,practice,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,shouting every word,silent with no pace,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-008,AC9E2LY07,practice,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-009,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip",only a title,"characters, problem, magic ending","Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-010,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-011,AC9E2LY07,practice,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,shouting every word,silent with no pace,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-012,AC9E2LY07,practice,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,unrelated facts,private passwords,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-013,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-014,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-015,AC9E2LY07,practice,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,silent with no pace,shouting every word,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-016,AC9E2LY07,practice,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-017,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-018,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,index page,spelling pattern,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-019,AC9E2LY07,practice,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,shouting every word,silent with no pace,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-020,AC9E2LY07,practice,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-021,AC9E2LY07,practice,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip",only a title,"characters, problem, magic ending","Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-022,AC9E2LY07,practice,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-P-023,AC9E2LY07,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LY07. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Short Oral Presentations.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LY07-P-024,AC9E2LY07,practice,apply concept,"Create a short Year 2 example question for AC9E2LY07, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LY07-T-001,AC9E2LY07,test,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-002,AC9E2LY07,test,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-003,AC9E2LY07,test,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,silent with no pace,shouting every word,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-004,AC9E2LY07,test,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-005,AC9E2LY07,test,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-006,AC9E2LY07,test,oral presentation,The room is noisy. What should you vary?,volume,index page,spelling pattern,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-007,AC9E2LY07,test,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,shouting every word,silent with no pace,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-008,AC9E2LY07,test,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,private passwords,unrelated facts,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-009,AC9E2LY07,test,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip",only a title,"characters, problem, magic ending","Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-010,AC9E2LY07,test,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-011,AC9E2LY07,test,oral presentation,You are telling a calm poem. Which tone fits?,gentle and steady,shouting every word,silent with no pace,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-012,AC9E2LY07,test,oral presentation,A familiar audience of classmates needs ___.,clear topic words they understand,unrelated facts,private passwords,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-013,AC9E2LY07,test,oral presentation,You present instructions for planting seeds. What structure fits?,"materials, steps, closing tip","characters, problem, magic ending",only a title,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-014,AC9E2LY07,test,oral presentation,The room is noisy. What should you vary?,volume,spelling pattern,index page,"Presentations need structure, topic vocabulary and suitable tone, volume and pace.",multiple_choice,
AC9E2LY07-T-015,AC9E2LY07,test,explain concept,Write or say two sentences that show the main idea of AC9E2LY07. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Short Oral Presentations.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LY07-T-016,AC9E2LY07,test,apply concept,"Create a short Year 2 example question for AC9E2LY07, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
