id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LA07-P-001,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-002,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-003,AC9E2LA07,practice,picture,"In “will carefully paint”, which choice names the picture part?",will paint,picture,carefully,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-004,AC9E2LA07,practice,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-005,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-006,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,rang,silver,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-007,AC9E2LA07,practice,picture,"In “will carefully paint”, which choice names the picture part?",will paint,carefully,picture,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-008,AC9E2LA07,practice,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-009,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,jumped,tiny,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-010,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-011,AC9E2LA07,practice,picture,"In “will carefully paint”, which choice names the picture part?",will paint,carefully,picture,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-012,AC9E2LA07,practice,station,"In “has been waiting”, which choice names the station part?",has been waiting,station,been,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-013,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-014,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-015,AC9E2LA07,practice,picture,"In “will carefully paint”, which choice names the picture part?",will paint,picture,carefully,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-016,AC9E2LA07,practice,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-017,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-018,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,rang,silver,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-019,AC9E2LA07,practice,picture,"In “will carefully paint”, which choice names the picture part?",will paint,carefully,picture,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-020,AC9E2LA07,practice,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-021,AC9E2LA07,practice,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,jumped,tiny,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-022,AC9E2LA07,practice,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-P-023,AC9E2LA07,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LA07. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Noun Groups and Verb Groups.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LA07-P-024,AC9E2LA07,practice,apply concept,"Create a short Year 2 example question for AC9E2LA07, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LA07-T-001,AC9E2LA07,test,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-002,AC9E2LA07,test,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-003,AC9E2LA07,test,picture,"In “will carefully paint”, which choice names the picture part?",will paint,picture,carefully,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-004,AC9E2LA07,test,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-005,AC9E2LA07,test,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-006,AC9E2LA07,test,rang,"In “three silver bells”, which choice names the rang part?",bells,rang,silver,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-007,AC9E2LA07,test,picture,"In “will carefully paint”, which choice names the picture part?",will paint,carefully,picture,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-008,AC9E2LA07,test,station,"In “has been waiting”, which choice names the station part?",has been waiting,been,station,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-009,AC9E2LA07,test,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,jumped,tiny,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-010,AC9E2LA07,test,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-011,AC9E2LA07,test,picture,"In “will carefully paint”, which choice names the picture part?",will paint,carefully,picture,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-012,AC9E2LA07,test,station,"In “has been waiting”, which choice names the station part?",has been waiting,station,been,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-013,AC9E2LA07,test,jumped,"In “the tiny green frog”, which choice names the jumped part?",frog,tiny,jumped,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-014,AC9E2LA07,test,rang,"In “three silver bells”, which choice names the rang part?",bells,silver,rang,The answer shows the main word group used in the sentence part.,multiple_choice,
AC9E2LA07-T-015,AC9E2LA07,test,explain concept,Write or say two sentences that show the main idea of AC9E2LA07. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Noun Groups and Verb Groups.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LA07-T-016,AC9E2LA07,test,apply concept,"Create a short Year 2 example question for AC9E2LA07, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
