"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","response_type","acceptance_note"
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-001","You missed the last instruction because a truck passed the window. What could you say to the teacher?","A. Could you repeat the last step, please? | B. I have finished every step. | C. You never explain anything.","Could you repeat the last step, please?","A specific request tells the teacher which help you need without blaming anyone. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-002","Your friend is finishing a drawing with the ruler you need. What could you ask?","A. Give it here right now. | B. May I have a turn when you finish? | C. Why are you drawing that?","May I have a turn when you finish?","A friendly request respects the friend's current turn and asks for the next one. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-003","You are welcoming families to a class display. Which opening suits your role?","A. Everyone must copy my picture. | B. I need someone to mark my spelling. | C. Welcome. Let me show you our work.","Welcome. Let me show you our work.","A host welcomes visitors and offers to guide them. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-004","You are leading a group making a tower. Which words help the group begin?","A. Let's put the wide blocks at the bottom. | B. You can all watch me do it. | C. My tower will be better than yours.","Let's put the wide blocks at the bottom.","A leader can suggest a clear shared action and include the group. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-005","A visitor is explaining how she trains rescue dogs. You want to ask a question. What could you say when she pauses?","A. Stop! My pet is much cuter. | B. May I ask how a dog learns to find someone? | C. I already know about all dogs.","May I ask how a dog learns to find someone?","A relevant question at a pause shows interest and respects the speaker's turn. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-006","A classmate thinks the story ends sadly. You think it ends happily. Which reply keeps the discussion respectful?","A. You did not understand the story at all. | B. You must change your answer to mine. | C. I thought it was happy because the friends met again.","I thought it was happy because the friends met again.","Explaining your view with a story detail allows disagreement without insulting the other reader. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-007","You spoke over someone during show-and-tell. Which response repairs the interruption?","A. Sorry I interrupted. Please finish what you were saying. | B. I was only talking a little. | C. Next time, speak faster.","Sorry I interrupted. Please finish what you were saying.","The apology names the action and gives the speaker their turn back. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-008","You call the school office about a lost lunchbox. Which opening helps someone who does not know you?","A. It is me. Have you found it? | B. Hello, I am Ari from 2C. I lost a red lunchbox. | C. You know that thing I lost?","Hello, I am Ari from 2C. I lost a red lunchbox.","Giving your name, class and the item helps an unfamiliar listener understand. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-009","A younger buddy does not know what 'return' means. Which instruction helps?","A. Please return the item to its usual location. | B. Please do the usual thing. | C. Please put the book back on this shelf.","Please put the book back on this shelf.","Familiar words and a clear place make the direction easier for a younger listener. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
"AC9E2LA01","Language Choices for Different Situations","practice","AC9E2LA01-P-010","A ball rolls towards the road and a friend starts to chase it. Which words fit the urgent moment?","A. Stop! Stay on the footpath! | B. When you have time, could we have a chat? | C. I wonder whose ball that might be.","Stop! Stay on the footpath!","An urgent warning needs immediate, clear words. Respectful language can be firm. Hint: Notice the listener, the situation and the speaker's role.","multiple-choice",""
