"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","response_type","acceptance_note"
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-001","Read: '1. Fold the paper. 2. Press the crease. 3. Open the paper.' Why are these instructions numbered?","A. To show the order of the actions. | B. To show which action is funniest. | C. To name the people in a story.","To show the order of the actions.","Numbering guides the reader through a procedure in sequence. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-002","A page about frogs has sections called 'Body', 'Food' and 'Habitat'. How is it organised?","A. Events are told in the order they happened. | B. Facts are grouped by topic. | C. A problem is followed by a story ending.","Facts are grouped by topic.","Each heading gathers information about one aspect of frogs. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-003","Read: 'One morning, a rabbit found a locked box. He searched for a key.' What makes this a story opening?","A. It lists materials for making a box. | B. It gives facts under science headings. | C. It introduces a character and a problem.","It introduces a character and a problem.","The rabbit and locked box set up characters and events for a narrative. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-004","Read: 'Our playground needs more shade. Trees would keep us cool. Please help us plant some.' How does the text support its request?","A. It gives a reason before asking people to help. | B. It lists the parts of a tree. | C. It tells a pretend adventure.","It gives a reason before asking people to help.","The reason explains why the writer wants the reader to act. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-005","Read: 'On Monday we visited the farm. Next we fed the hens. Finally we went home.' What helps organise this recount?","A. Headings sort animals by size. | B. Time words put past events in order. | C. Rhyming words tell us what to sing.","Time words put past events in order.","Next and finally signal the sequence of events that already happened. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-006","Which opening best suits a recipe?","A. Once upon a time, a bowl ran away. | B. I believe bowls should be blue. | C. You will need: oats, milk and a bowl.","You will need: oats, milk and a bowl.","A recipe commonly starts with what is needed before the method. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-007","Read: 'Both buses and trains carry passengers. Trains use tracks, but buses use roads.' Which words signal a difference?","A. but buses use roads | B. Both buses and trains | C. carry passengers","but buses use roads","But introduces the contrasting feature of buses. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-008","Read: 'A snail has a shell. A slug does not. Both have soft bodies.' Which information belongs under 'Both'?","A. a shell | B. soft bodies | C. no shell","soft bodies","Both explicitly marks the shared feature. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-009","Which sentence belongs in directions for planting a seed?","A. The seed dreamed of being a giant. | B. I think this is the prettiest seed. | C. Make a small hole in the soil.","Make a small hole in the soil.","The action verb make tells the reader what to do. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
"AC9E2LA03","Text Structures for Different Purposes","practice","AC9E2LA03-P-010","Which sentence suits a factual report about penguins?","A. Penguins have feathers and wings. | B. Please buy my penguin badge today! | C. The penguin invited the moon to tea.","Penguins have feathers and wings.","The sentence supplies factual information rather than persuasion or fantasy. Hint: Ask what the text helps its reader do and how its parts support that purpose.","multiple-choice",""
