id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LY08-P-001,AC9E2LY08,practice,handwriting,Which word shows clear lower-case letters?,garden,GaRdEn,g ar den with missing letters,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-002,AC9E2LY08,practice,handwriting,Which pair shows upper-case then lower-case for m?,M m,m M,N n,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-003,AC9E2LY08,practice,handwriting,What helps handwriting fluency?,steady letter size and spacing,mixing letters randomly,writing over every line twice,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-004,AC9E2LY08,practice,handwriting,Which sentence is easiest to read?,The duck swims.,tHe duCk sWims,Theduckswims,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-005,AC9E2LY08,practice,handwriting,Which word shows clear lower-case letters?,garden,GaRdEn,g ar den with missing letters,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-006,AC9E2LY08,practice,handwriting,Which pair shows upper-case then lower-case for m?,M m,N n,m M,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-007,AC9E2LY08,practice,handwriting,What helps handwriting fluency?,steady letter size and spacing,writing over every line twice,mixing letters randomly,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-008,AC9E2LY08,practice,handwriting,Which sentence is easiest to read?,The duck swims.,tHe duCk sWims,Theduckswims,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-009,AC9E2LY08,practice,handwriting,Which word shows clear lower-case letters?,garden,g ar den with missing letters,GaRdEn,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-010,AC9E2LY08,practice,handwriting,Which pair shows upper-case then lower-case for m?,M m,m M,N n,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
AC9E2LY08-P-011,AC9E2LY08,practice,handwriting,What helps handwriting fluency?,steady letter size and spacing,writing over every line twice,mixing letters randomly,Legible writing uses clear unjoined upper-case and lower-case letters with spacing.,multiple_choice,
