id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LE02-P-001,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-002,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-003,AC9E2LE02,practice,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,angry,forgetful,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-004,AC9E2LE02,practice,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-005,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-006,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,sunny,busy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-007,AC9E2LE02,practice,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,forgetful,angry,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-008,AC9E2LE02,practice,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-009,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,greedy,bored,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-010,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-011,AC9E2LE02,practice,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,forgetful,angry,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-012,AC9E2LE02,practice,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,word has a suffix,title has commas,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-013,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-014,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-015,AC9E2LE02,practice,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,angry,forgetful,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-016,AC9E2LE02,practice,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-017,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-018,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,sunny,busy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-019,AC9E2LE02,practice,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,forgetful,angry,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-020,AC9E2LE02,practice,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-021,AC9E2LE02,practice,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,greedy,bored,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-022,AC9E2LE02,practice,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-P-023,AC9E2LE02,practice,explain concept,Write or say two sentences that show the main idea of AC9E2LE02. Use your own example.,Parent or teacher review needed,Needs more detail,Off topic,A strong response explains the code idea and includes a correct original example for Features and Preferences in Literary Texts.,adult_review,"Accept if the response is on-topic, understandable and includes a correct example."
AC9E2LE02-P-024,AC9E2LE02,practice,apply concept,"Create a short Year 2 example question for AC9E2LE02, then explain the answer.",Parent or teacher review needed,Needs more detail,Off topic,A strong response creates a clear example and explains why the answer works.,adult_review,Accept if the example matches the descriptor and the explanation is accurate.
AC9E2LE02-T-001,AC9E2LE02,test,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-002,AC9E2LE02,test,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-003,AC9E2LE02,test,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,angry,forgetful,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-004,AC9E2LE02,test,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-005,AC9E2LE02,test,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,bored,greedy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-006,AC9E2LE02,test,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,sunny,busy,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-007,AC9E2LE02,test,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,forgetful,angry,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-008,AC9E2LE02,test,literary features,Read the detail: The story happens beside a dry creek after weeks without rain. What is the best idea to discuss?,setting affects events,title has commas,word has a suffix,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-009,AC9E2LE02,test,literary features,"Read the detail: Nala whispers, “I can fix it,” and studies the broken kite. What is the best idea to discuss?",determined,greedy,bored,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-010,AC9E2LE02,test,literary features,"Read the detail: The cave is cold, dark and echoing. What is the best idea to discuss?",mysterious,busy,sunny,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
AC9E2LE02-T-011,AC9E2LE02,test,literary features,Read the detail: Tom shares his last biscuit with a new student. What is the best idea to discuss?,kind,forgetful,angry,"Actions, dialogue and setting details help readers discuss characters, settings and preferences.",multiple_choice,
