id,curriculum_code,bank,skill,question,correct_answer,distractor_1,distractor_2,explanation,response_type,acceptance_note
AC9E2LY02-P-001,AC9E2LY02,practice,speaking and listening,A partner is explaining the game rules. What should you do first?,Look at the speaker and listen before asking a question.,Talk over the speaker with a new story.,Walk away before the instructions end.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-002,AC9E2LY02,practice,speaking and listening,You disagree with an idea in group talk. What is appropriate?,I see it differently because the text says…,That is silly and wrong.,I will not listen now.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-003,AC9E2LY02,practice,speaking and listening,The teacher gives two steps. What helps you receive the instructions?,Repeat the steps quietly to check them.,Guess without listening.,Change the topic.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-004,AC9E2LY02,practice,speaking and listening,You want to extend an idea. What could you say?,We could also add a labelled picture.,Stop talking forever.,That has no topic.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-005,AC9E2LY02,practice,speaking and listening,A partner is explaining the game rules. What should you do first?,Look at the speaker and listen before asking a question.,Talk over the speaker with a new story.,Walk away before the instructions end.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-006,AC9E2LY02,practice,speaking and listening,You disagree with an idea in group talk. What is appropriate?,I see it differently because the text says…,I will not listen now.,That is silly and wrong.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-007,AC9E2LY02,practice,speaking and listening,The teacher gives two steps. What helps you receive the instructions?,Repeat the steps quietly to check them.,Change the topic.,Guess without listening.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-008,AC9E2LY02,practice,speaking and listening,You want to extend an idea. What could you say?,We could also add a labelled picture.,Stop talking forever.,That has no topic.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-009,AC9E2LY02,practice,speaking and listening,A partner is explaining the game rules. What should you do first?,Look at the speaker and listen before asking a question.,Walk away before the instructions end.,Talk over the speaker with a new story.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-010,AC9E2LY02,practice,speaking and listening,You disagree with an idea in group talk. What is appropriate?,I see it differently because the text says…,That is silly and wrong.,I will not listen now.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-011,AC9E2LY02,practice,speaking and listening,The teacher gives two steps. What helps you receive the instructions?,Repeat the steps quietly to check them.,Change the topic.,Guess without listening.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-012,AC9E2LY02,practice,speaking and listening,You want to extend an idea. What could you say?,We could also add a labelled picture.,That has no topic.,Stop talking forever.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-013,AC9E2LY02,practice,speaking and listening,A partner is explaining the game rules. What should you do first?,Look at the speaker and listen before asking a question.,Talk over the speaker with a new story.,Walk away before the instructions end.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-014,AC9E2LY02,practice,speaking and listening,You disagree with an idea in group talk. What is appropriate?,I see it differently because the text says…,That is silly and wrong.,I will not listen now.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-015,AC9E2LY02,practice,speaking and listening,The teacher gives two steps. What helps you receive the instructions?,Repeat the steps quietly to check them.,Guess without listening.,Change the topic.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-016,AC9E2LY02,practice,speaking and listening,You want to extend an idea. What could you say?,We could also add a labelled picture.,Stop talking forever.,That has no topic.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-017,AC9E2LY02,practice,speaking and listening,A partner is explaining the game rules. What should you do first?,Look at the speaker and listen before asking a question.,Talk over the speaker with a new story.,Walk away before the instructions end.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-018,AC9E2LY02,practice,speaking and listening,You disagree with an idea in group talk. What is appropriate?,I see it differently because the text says…,I will not listen now.,That is silly and wrong.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
AC9E2LY02-P-019,AC9E2LY02,practice,speaking and listening,The teacher gives two steps. What helps you receive the instructions?,Repeat the steps quietly to check them.,Change the topic.,Guess without listening.,"Interaction skills include listening, responding politely and adding relevant ideas.",multiple_choice,
